name,rate,category,location,info_link,cover_link
迁徙的鸟,9.1,文艺,法国,https://movie.douban.com/subject/1292281/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2238274168.jpg
我们都为比尔着盛装,9.1,文艺,法国,https://movie.douban.com/subject/4836985/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p821582577.jpg
精神分裂症,9.0,文艺,法国,https://movie.douban.com/subject/3262918/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p857148064.jpg
沉静如海,9.0,文艺,法国,https://movie.douban.com/subject/1769507/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2365157916.jpg
一路平安,9.0,文艺,法国,https://movie.douban.com/subject/1471586/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2215638675.jpg
这个杀手不太冷,9.4,动作,法国,https://movie.douban.com/subject/1295644/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
我是海尔姆特,9.4,文艺,德国,https://movie.douban.com/subject/5360245/,https://img3.doubanio.com/view/subject/l/public/s4533690.jpg
60亿其他人,9.3,文艺,德国,https://movie.douban.com/subject/5151494/,https://img3.doubanio.com/view/subject/l/public/s4689961.jpg
放牛班的春天,9.2,文艺,德国,https://movie.douban.com/subject/1291549/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
皮娜·鲍什：穆勒咖啡馆,9.2,文艺,德国,https://movie.douban.com/subject/3921106/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2121858349.jpg
祖母的照相馆,9.2,文艺,德国,https://movie.douban.com/subject/11587751/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1659366674.jpg
春之祭,9.2,文艺,德国,https://movie.douban.com/subject/3278842/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2122603772.jpg
迁徙的鸟,9.1,文艺,德国,https://movie.douban.com/subject/1292281/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2238274168.jpg
海蒂和爷爷,9.0,文艺,德国,https://movie.douban.com/subject/25958717/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2332944143.jpg
六十五岁以上的女士和先生,9.1,文艺,德国,https://movie.douban.com/subject/4899886/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2417935308.jpg
美丽人生,9.5,文艺,意大利,https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg
灿烂人生,9.3,文艺,意大利,https://movie.douban.com/subject/1291831/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1161132422.jpg
海上钢琴师,9.2,文艺,意大利,https://movie.douban.com/subject/1292001/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg
天堂电影院,9.1,文艺,意大利,https://movie.douban.com/subject/1291828/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg
迁徙的鸟,9.1,文艺,意大利,https://movie.douban.com/subject/1292281/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2238274168.jpg
60亿其他人,9.3,文艺,西班牙,https://movie.douban.com/subject/5151494/,https://img3.doubanio.com/view/subject/l/public/s4689961.jpg
迁徙的鸟,9.1,文艺,西班牙,https://movie.douban.com/subject/1292281/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2238274168.jpg
60亿其他人,9.3,文艺,印度,https://movie.douban.com/subject/5151494/,https://img3.doubanio.com/view/subject/l/public/s4689961.jpg
攀登梅鲁峰,9.1,动作,印度,https://movie.douban.com/subject/26276373/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2286660380.jpg
胡桃夹子,9.3,文艺,俄罗斯,https://movie.douban.com/subject/3533599/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2257772540.jpg
60亿其他人,9.3,文艺,加拿大,https://movie.douban.com/subject/5151494/,https://img3.doubanio.com/view/subject/l/public/s4689961.jpg
少年派的奇幻漂流,9.0,文艺,加拿大,https://movie.douban.com/subject/1929463/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
负重前行,9.1,恐怖,澳大利亚,https://movie.douban.com/subject/26793157/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2495304867.jpg
60亿其他人,9.3,文艺,澳大利亚,https://movie.douban.com/subject/5151494/,https://img3.doubanio.com/view/subject/l/public/s4689961.jpg
大河之舞1995,9.4,文艺,爱尔兰,https://movie.douban.com/subject/1835118/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1932522618.jpg
寻找小糖人,9.1,文艺,瑞典,https://movie.douban.com/subject/7015798/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1741882642.jpg
